fr,en,it,de,es,ko,kana
Huitième étage : Installation malfamée.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.
Premier étage : Hall de la Tour.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.
Deuxième étage : Prairie ruisselante.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.
Troisième étage : Crique turbulente.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.
Quatrième étage : Caverne rocailleuse.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.
Cinquième étage : Marais cendreux.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.
Sixième étage : Toundra verglacée.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.
Septième étage : Piste aménagée.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.
Huitième étage : Installation malfamée.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.,The eighth floor has the Shady Facility.
1: Hall de la Tour,1: Main Hall,1: Main Hall,1: Main Hall,1: Main Hall,1: Main Hall,1: Main Hall
2: Prairie ruisselante,2: Prairie Stream,2: Prairie Stream,2: Prairie Stream,2: Prairie Stream,2: Prairie Stream,2: Prairie Stream
3: Crique turbulente,3: Turbulent Creek,3: Turbulent Creek,3: Turbulent Creek,3: Turbulent Creek,3: Turbulent Creek,3: Turbulent Creek
4: Caverne rocailleuse,4: Rocky Cavern,4: Rocky Cavern,4: Rocky Cavern,4: Rocky Cavern,4: Rocky Cavern,4: Rocky Cavern
5: Marais cendreux,5: Ashen Marsh,5: Ashen Marsh,5: Ashen Marsh,5: Ashen Marsh,5: Ashen Marsh,5: Ashen Marsh
6: Toundra verglacée,6: Icy Tundra,6: Icy Tundra,6: Icy Tundra,6: Icy Tundra,6: Icy Tundra,6: Icy Tundra
7: Piste aménagée,7: Built Road,7: Built Road,7: Built Road,7: Built Road,7: Built Road,7: Built Road
8: Installation malfamée,8: Shady Facility,8: Shady Facility,8: Shady Facility,8: Shady Facility,8: Shady Facility,8: Shady Facility
Retour,Return,Return,Return,Return,Return,Return
